id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
1018,1018,Subjective well being || id:1018,Subjective well being || id:1018,Wald ratio,1,1,0.173611111,8.41E-09
1018,1189,Obsessive Compulsive Disorder || id:1189,Subjective well being || id:1018,Wald ratio,1,-0.245318185,1.785519573,0.890720034
1018,1239,Years of schooling || id:1239,Subjective well being || id:1018,Wald ratio,1,-0.36755352,0.089957475,4.39E-05
1018,22,Schizophrenia || id:22,Subjective well being || id:1018,Wald ratio,1,-1.294949682,0.56791335,0.022596491
1018,961,Cigarettes smoked per day || id:961,Subjective well being || id:1018,Wald ratio,1,-2.966779341,4.347944608,0.495023576
1018,UKB-b:10162,Job involve night shift work || id:UKB-b:10162,Subjective well being || id:1018,Wald ratio,1,0.411359176,0.377544252,0.275904606
1018,UKB-b:1585,Diagnoses - secondary ICD10: Z86.4 Personal history of psychoactive substance abuse || id:UKB-b:1585,Subjective well being || id:1018,Wald ratio,1,0.00827209,0.017229401,0.631145793
1018,UKB-b:17999,Weekly usage of mobile phone in last 3 months || id:UKB-b:17999,Subjective well being || id:1018,Wald ratio,1,0.511621779,0.155349744,0.000989996
1018,UKB-b:19953,Body mass index (BMI) || id:UKB-b:19953,Subjective well being || id:1018,Wald ratio,1,0.618294079,0.104382474,3.15E-09
1018,UKB-b:4077,Leisure/social activities: Other group activity || id:UKB-b:4077,Subjective well being || id:1018,Wald ratio,1,0.004465235,0.045149429,0.921218442
1018,UKB-b:4424,Sleep duration || id:UKB-b:4424,Subjective well being || id:1018,Wald ratio,1,-0.054307055,0.084271072,0.519294728
1018,UKB-b:4710,Number of days/week of moderate physical activity 10+ minutes || id:UKB-b:4710,Subjective well being || id:1018,Wald ratio,1,0.041743857,0.261908007,0.87336661
1018,UKB-b:4779,Plays computer games || id:UKB-b:4779,Subjective well being || id:1018,Wald ratio,1,0.117492186,0.054672337,0.031632466
1018,UKB-b:5238,Fluid intelligence score || id:UKB-b:5238,Subjective well being || id:1018,Wald ratio,1,-1.728978119,0.399601552,1.51E-05
1018,UKB-b:5779,Alcohol intake frequency. || id:UKB-b:5779,Subjective well being || id:1018,Wald ratio,1,-0.114784829,0.159555483,0.471892124
1018,UKB-b:6519,Worrier / anxious feelings || id:UKB-b:6519,Subjective well being || id:1018,Wald ratio,1,-0.060346473,0.054043997,0.264157911
1018,UKB-b:8476,Loneliness isolation || id:UKB-b:8476,Subjective well being || id:1018,Wald ratio,1,-0.199884146,0.042317177,2.32E-06
22,1018,Subjective well being || id:1018,Schizophrenia || id:22,MR Egger,60,-0.064606501,0.034002003,0.062397605
22,1018,Subjective well being || id:1018,Schizophrenia || id:22,Weighted median,60,-0.008166662,0.00898004,0.363126466
22,1018,Subjective well being || id:1018,Schizophrenia || id:22,Inverse variance weighted,60,-0.021319319,0.007515005,0.004555387
22,1018,Subjective well being || id:1018,Schizophrenia || id:22,Simple mode,60,0.003496139,0.023880089,0.884101625
22,1018,Subjective well being || id:1018,Schizophrenia || id:22,Weighted mode,60,0.003496139,0.022665165,0.877937771
22,1187,Major Depressive Disorder || id:1187,Schizophrenia || id:22,MR Egger,4,4.723089343,2.43048565,0.191447315
22,1187,Major Depressive Disorder || id:1187,Schizophrenia || id:22,Weighted median,4,0.364399941,0.059905023,1.18E-09
22,1187,Major Depressive Disorder || id:1187,Schizophrenia || id:22,Inverse variance weighted,4,0.269308329,0.166877605,0.106569189
22,1187,Major Depressive Disorder || id:1187,Schizophrenia || id:22,Simple mode,4,0.384834861,0.05887081,0.007276427
22,1187,Major Depressive Disorder || id:1187,Schizophrenia || id:22,Weighted mode,4,0.377440155,0.058525736,0.007561319
22,1189,Obsessive Compulsive Disorder || id:1189,Schizophrenia || id:22,MR Egger,72,0.139429572,0.292131714,0.634647289
22,1189,Obsessive Compulsive Disorder || id:1189,Schizophrenia || id:22,Weighted median,72,0.247239365,0.091913193,0.007146861
22,1189,Obsessive Compulsive Disorder || id:1189,Schizophrenia || id:22,Inverse variance weighted,72,0.31996248,0.073392929,1.30E-05
22,1189,Obsessive Compulsive Disorder || id:1189,Schizophrenia || id:22,Simple mode,72,0.158763443,0.240505188,0.511309653
22,1189,Obsessive Compulsive Disorder || id:1189,Schizophrenia || id:22,Weighted mode,72,0.295765172,0.229604604,0.201876084
22,1239,Years of schooling || id:1239,Schizophrenia || id:22,MR Egger,71,0.019609413,0.037564501,0.603328407
22,1239,Years of schooling || id:1239,Schizophrenia || id:22,Weighted median,71,-0.003588476,0.005801722,0.536233223
